procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 15963428 989488 6316024    0    0     0     0 2215 1434  0  0 100  0  0  0
 0  0      0 15984608 989492 6316060    0    0     0   135 1096  987  0  0 100  0  0  0
 0  0      0 16004140 989492 6316096    0    0     0     0 1810 1373  0  0 100  0  0  0
 0  0      0 16016088 989492 6316136    0    0     0     0 1232 1399  0  0 100  0  0  0
 1  1      0 16112052 989548 6255376    0    0     0 69868 8186 7520  1  1 98  0  0  0
 1  0      0 16365492 989732 6153796    0    0     0 16116 23682 24339  2  2 96  0  0  0
 0  0      0 16377164 989732 6153788    0    0     0    44 4116 3646  0  0 99  0  0  0
 4  0      0 16674688 989972 5991380    0    0     0 24128 31140 32992  2  2 94  2  0  0
 1  2      0 16224560 991012 5991728    0    0   416 26243 41059 49980  5  4 87  4  0  0
 4  2      0 16213824 992340 6009568    0    0     0 18911 29842 50687  1  1 91  7  0  0
 2  2      0 16230320 992988 6031056    0    0  5430 71034 66307 170453 12  4 81  3  0  0
 0  2      0 16241404 993588 6046316    0    0   496 21572 14887 38649  5  1 93  2  0  0
 2  0      0 16227040 993648 6057736    0    0  5542 11956 38719 107811  8  2 90  1  0  0
 0  0      0 16213892 993652 6068736    0    0     0   132 28114 31338  3  2 94  0  0  0
 2  0      0 16183656 993692 6080572    0    0     0 12356 28307 71645  5  3 92  0  0  0
 1  0      0 16165920 993692 6081364    0    0     0   224 21388 9120  3  3 94  0  0  0
 2  0      0 16229712 993704 6082844    0    0     0  1360 26168 12885  5  4 91  0  0  0
 2  0      0 16292012 993708 6085948    0    0     0   728 23877 9978  5  4 91  0  0  0
 2  0      0 16270424 993708 6086396    0    0     0  1680 22729 8948  6  3 91  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 16282304 993708 6090980    0    0     0  3248 16478 4993  7  2 91  0  0  0
